Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR039447	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR039448	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR039449	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR039450	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR039451	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR039452	SRX018867	ILLUMINA	GSM515637: Head_Dmel_Male (GA I)	SINGLE	SRS058937	Drosophila melanogaster	GSM515637
SRR068998	SRX028578	ILLUMINA	GSM240749: Female heads	SINGLE	SRS117295	Drosophila melanogaster	GSM240749
SRR069228	SRX028796	ILLUMINA	GSM609243: Lai_Kc_Rubin_Ecdysone extraction1_seq1 aliquote 1	SINGLE	SRS117355	Drosophila melanogaster	GSM609243
SRR069229	SRX028797	ILLUMINA	GSM609244: Lai_Kc_Rubin_Ecdysone extraction2_seq1 aliquote 1	SINGLE	SRS117356	Drosophila melanogaster	GSM609244
SRR069230	SRX028798	ILLUMINA	GSM609241: Lai_S2_Rubin_Ecdysone extraction1_seq1 aliquote 1	SINGLE	SRS117357	Drosophila melanogaster	GSM609241
SRR069231	SRX028799	ILLUMINA	GSM609242: Lai_S2_Rubin_Ecdysone extraction2_seq1 aliquote 1	SINGLE	SRS117358	Drosophila melanogaster	GSM609242
SRR069232	SRX028800	ILLUMINA	GSM609246: Lai_CantonS_ovary extraction1_seq1 aliquote 1	SINGLE	SRS117359	Drosophila melanogaster	GSM609246
SRR069233	SRX028801	ILLUMINA	GSM609245: Lai_Dcr-2_L811fsX_ovary extraction1_seq1 aliquote 1	SINGLE	SRS117360	Drosophila melanogaster	GSM609245
SRR069234	SRX028802	ILLUMINA	GSM609238: embryos,2-6 hr after egg laying (Celniker/RNA:217, 223) extraction1-2	SINGLE	SRS117361	Drosophila melanogaster	GSM609238
SRR069235	SRX028803	ILLUMINA	GSM609237: Lai_Ago2-414_ovary extraction1_seq1 aliquote 1	SINGLE	SRS117362	Drosophila melanogaster	GSM609237
SRR069236	SRX028804	ILLUMINA	GSM609234: Tissue:Male_body:EL:1&oldid=19978 extraction1_seq1 aliquote 1	SINGLE	SRS117363	Drosophila melanogaster	GSM609234
SRR069242	SRX028810	ILLUMINA	GSM609232: Lai_r2d2_ovary_totalRNA extraction1_seq1 aliquote 1	SINGLE	SRS117365	Drosophila melanogaster	GSM609232
SRR069243	SRX028811	ILLUMINA	GSM609225: ML-DmBG3-c2 (Celniker/RNA:121) extraction1_seq1 aliquote 1	SINGLE	SRS117366	Drosophila melanogaster	GSM609225
SRR069244	SRX028812	ILLUMINA	GSM609224: adult female,eclosion + 1 day (Celniker/RNA:373) extraction1_seq1 aliquote 1	SINGLE	SRS117367	Drosophila melanogaster	GSM609224
SRR069245	SRX028813	ILLUMINA	GSM609223: adult male,eclosion + 1 day (Celniker/RNA:367) extraction1_seq1 aliquote 1	SINGLE	SRS117368	Drosophila melanogaster	GSM609223
SRR069246	SRX028814	ILLUMINA	GSM609222: ML-DmBG1-c1 (Celniker/RNA:115) extraction1_seq1 aliquote 1	SINGLE	SRS117369	Drosophila melanogaster	GSM609222
SRR069255	SRX028828	ILLUMINA	GSM609219: GM2 (Celniker/RNA:9) extraction1_seq1 aliquote 1	SINGLE	SRS117372	Drosophila melanogaster	GSM609219
SRR069256	SRX028830	ILLUMINA	GSM609220: ML-DmD21 (Celniker/RNA:53) extraction1_seq1 aliquote 1	SINGLE	SRS117374	Drosophila melanogaster	GSM609220
